,index,Trade Flow,Reporter ISO,Partner ISO,Partner,Commodity Code,Commodity,Trade Value
17,14,Export,GBR,ABW,Aruba,37,Photographic or cinematographic goods,203
68,29,Export,GBR,ABW,Aruba,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1049
72,37,Export,GBR,ABW,Aruba,95,"Toys, games and sports requisites; parts and accessories thereof",1053
115,13,Export,GBR,ABW,Aruba,35,Albuminoidal substances; modified starches; glues; enzymes,1105
122,20,Export,GBR,ABW,Aruba,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",1111
176,28,Export,GBR,ABW,Aruba,74,Copper and articles thereof,1188
203,3,Export,GBR,ABW,Aruba,17,Sugars and sugar confectionery,1228
501,33,Export,GBR,ABW,Aruba,88,"Aircraft, spacecraft, and parts thereof",1915
504,38,Export,GBR,ABW,Aruba,99,Commodities not specified according to kind,1930
700,23,Export,GBR,ABW,Aruba,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags,2581
772,8,Export,GBR,ABW,Aruba,24,Tobacco and manufactured tobacco substitutes,2747
931,22,Export,GBR,ABW,Aruba,62,"Articles of apparel and clothing accessories,not knitted or crocheted",3325
1128,24,Export,GBR,ABW,Aruba,65,Headgear and parts thereof,4271
2008,1,Export,GBR,ABW,Aruba,05,"Products of animal origin, not elsewhere specified or included",10559
2081,19,Export,GBR,ABW,Aruba,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",11441
2581,5,Export,GBR,ABW,Aruba,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",17585
2643,2,Export,GBR,ABW,Aruba,11,Products of the milling industry; malt; starches; inulin; wheat gluten,18455
2739,6,Export,GBR,ABW,Aruba,20,"Preparations of vegetables, fruit, nuts or other parts of plants",19919
3019,25,Export,GBR,ABW,Aruba,69,Ceramic products,24802
3039,12,Export,GBR,ABW,Aruba,34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, “dental waxes” and dental preparations with a basis of plaster",25081
3300,21,Export,GBR,ABW,Aruba,56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",31128
3306,18,Export,GBR,ABW,Aruba,44,Wood and articles of wood; wood charcoal,31288
3750,0,Export,GBR,ABW,Aruba,01,Live animals,43174
3933,10,Export,GBR,ABW,Aruba,30,Pharmaceutical products,49025
3947,15,Export,GBR,ABW,Aruba,38,Miscellaneous chemical products,49449
4199,26,Export,GBR,ABW,Aruba,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",58287
4290,16,Export,GBR,ABW,Aruba,39,Plastics and articles thereof,61571
4608,4,Export,GBR,ABW,Aruba,18,Cocoa and cocoa preparations,75583
